"","lag.1","lag.2","lag.3","PE10.1","PE10.2","TARGET"
"1",0.00867516285262058,0.00399586868211297,0.0138487042816152,18.94,18.78,-0.0524981769869179
"2",-0.0524981769869179,0.00867516285262058,0.00399586868211297,18.4,18.94,-0.034277828842309
"3",-0.034277828842309,-0.0524981769869179,0.00867516285262058,17.99,18.4,-0.00402342048450679
"4",-0.00402342048450679,-0.034277828842309,-0.0524981769869179,17.69,17.99,0.00953610930112556
"5",0.00953610930112556,-0.00402342048450679,-0.034277828842309,18.07,17.69,-0.0278746363066868
"6",0.0315434105102358,-0.0278746363066868,0.00953610930112556,18.1,17.34,0.0712723413325603
"7",0.0712723413325603,0.0315434105102358,-0.0278746363066868,19.42,18.1,0.0544201753855678
"8",0.0544201753855678,0.0712723413325603,0.0315434105102358,20.74,19.42,0.0246729531897166
"9",0.0211175684735952,0.0246729531897166,0.0544201753855678,21.68,20.98,0.0312105764249534
"10",0.0312105764249534,0.0211175684735952,0.0246729531897166,22.35,21.68,0.0765312937538987
"11",0.0765312937538987,0.0312105764249534,0.0211175684735952,24.41,22.35,-0.0557047378996253
"12",0.0909338804124334,-0.0557047378996253,0.0765312937538987,25.24,23.06,-0.0734365483340208
"13",0.0097526270596112,-0.0734365483340208,0.0909338804124334,23.08,23.14,-0.00901096199554576
"14",-0.00901096199554576,0.0097526270596112,-0.0734365483340208,22.59,23.08,-0.0153371803847801
"15",-0.0153371803847801,-0.00901096199554576,0.0097526270596112,22.25,22.59,0.0172406702689348
"16",0.0172406702689348,-0.0153371803847801,-0.00901096199554576,22.38,22.25,-0.0202433643512702
"17",0.0171348050228391,-0.0202433643512702,0.0172406702689348,22.34,21.68,0.00456032320688458
"18",0.00456032320688458,0.0171348050228391,-0.0202433643512702,22.46,22.34,-0.0028031640792773
"19",-0.0028031640792773,0.00456032320688458,0.0171348050228391,22.41,22.46,0.0295528750490975
"20",0.0295528750490975,-0.0028031640792773,0.00456032320688458,22.82,22.41,-0.00638469667018651
"21",-0.00995112011778234,-0.00638469667018651,0.0295528750490975,21.96,22.43,0.0183173087900986
"22",0.0183173087900986,-0.00995112011778234,-0.00638469667018651,22.39,21.96,0.0223693908719001
"23",0.0223693908719001,0.0183173087900986,-0.00995112011778234,23.17,22.39,-0.00176097608053762
"24",-0.00176097608053762,0.0223693908719001,0.0183173087900986,22.86,23.17,-0.0361731468946561
"25",-0.0361731468946561,-0.00176097608053762,0.0223693908719001,20.6,22.86,-0.0432908091728152
"26",-0.0432908091728152,-0.0361731468946561,-0.00176097608053762,20.41,20.6,-0.0273516729754148
"27",-0.0273516729754148,-0.0432908091728152,-0.0361731468946561,19.63,20.41,0.045653661703153
"28",0.045653661703153,-0.0273516729754148,-0.0432908091728152,20.32,19.63,-0.00995112011778234
"29",-0.00995112011778234,0.045653661703153,-0.0273516729754148,20.11,20.32,-0.0440530219363592
"30",-0.0440530219363592,-0.00995112011778234,0.045653661703153,19.88,20.11,-0.0457224496522554
"31",-0.0457224496522554,-0.0440530219363592,-0.00995112011778234,18.98,19.88,-0.0235680165574771
"32",-0.0608722847166591,-0.0235680165574771,-0.0457224496522554,17.82,18.95,-0.0510741512705059
"33",-0.0510741512705059,-0.0608722847166591,-0.0235680165574771,16.92,17.82,-0.0366672685608695
"34",-0.0366672685608695,-0.0510741512705059,-0.0608722847166591,16.3,16.92,-0.0284521161694688
"35",-0.0284521161694688,-0.0366672685608695,-0.0510741512705059,15.65,16.3,-0.0370193438853087
"36",-0.0370193438853087,-0.0284521161694688,-0.0366672685608695,15.25,15.65,-0.000833625116406634
"37",-0.000833625116406634,-0.0370193438853087,-0.0284521161694688,15.41,15.25,0.041120431531905
"38",0.041120431531905,-0.000833625116406634,-0.0370193438853087,16.04,15.41,0.0125807345675283
"39",0.0125807345675283,0.041120431531905,-0.000833625116406634,15.86,16.04,-0.0313392311314697
"40",-0.0313392311314697,0.0125807345675283,0.041120431531905,15.02,15.86,-0.00710508702191484
"41",-0.00710508702191484,-0.0313392311314697,0.0125807345675283,15.08,15.02,0.0203680326396523
"42",-0.0253332070712579,0.0203680326396523,-0.00710508702191484,15.53,15.57,-0.0024861411656202
"43",0.0366142252473195,-0.0024861411656202,-0.0253332070712579,16.04,15.47,0.0293371786096877
"44",0.0293371786096877,0.0366142252473195,-0.0024861411656202,16.3,16.04,0.0392492064422146
"45",0.0530590949075286,0.0392492064422146,0.0293371786096877,17.63,16.74,0.048752645022149
"46",0.048752645022149,0.0530590949075286,0.0392492064422146,18.08,17.63,0.00572087099017136
"47",0.00572087099017136,0.048752645022149,0.0530590949075286,18.16,18.08,0.0175601511826678
"48",0.0175601511826678,0.00572087099017136,0.048752645022149,18.46,18.16,0.0389315289858901
"49",0.023989615743167,0.0389315289858901,0.0175601511826678,19.83,19.17,-0.0162525890109188
"50",0.0268891725775192,0.00767261927868432,-0.0544928461736588,19.21,18.74,0.0325052672489999
"51",-0.000767856024740521,0.0325052672489999,0.0268891725775192,19.74,19.57,0.00996282149023306
"52",0.00996282149023306,-0.000767856024740521,0.0325052672489999,19.9,19.74,-0.00937961968503167
"53",0.0203809736867125,-0.00937961968503167,0.00996282149023306,19.58,19.44,0.0299829475006882
"54",-0.0288180790977232,-0.0111408882533705,0.0299829475006882,19.26,19.87,-0.0177150509024505
"55",-0.0177150509024505,-0.0288180790977232,-0.0111408882533705,18.88,19.26,-0.0308923124974742
"56",-0.0308923124974742,-0.0177150509024505,-0.0288180790977232,18.05,18.88,0.0089637750423047
